Mixture,Malignant,Endothelial cells,CAF,T cells CD8,NK cells,Macrophages,T cells CD4,B cells,P-value,Correlation,RMSE
TCGA-EB-A5SG-06A-11R-A311-07,0.528554333864449,0.00121041243784067,0.0735305899109952,0.10341776335264,0,0.208730875224633,0,0.0845560252094429,0,0.534440035213293,0.845625901620205
TCGA-EB-A5SH-06A-11R-A311-07,0.842197182094658,0.0448047055870788,0.0183932400381595,0,0,0.0311205196498104,0,0.0634843526302933,0,0.311009322491533,0.951633279153943
TCGA-EB-A5UL-06A-11R-A311-07,0.804935945110314,0.00186520089865164,0.0298976219852697,0.0420102150139503,0,0.0395301368506054,0,0.0817608801412094,0,0.316870207138648,0.949613122617452
TCGA-EB-A5UM-01A-11R-A311-07,0.884566116764805,0.00442860382488775,0.0205695622772398,0.0139637004464758,0,0.0242546041752727,0,0.0522174125113186,0,0.648392542380782,0.819051265095672
TCGA-EB-A5UN-06A-11R-A311-07,0.944742190329686,0,0.0491284769809695,0,0,0.00396598082705662,0.00216335186228818,0,0,0.625632586851834,0.824974121662407
TCGA-EB-A5VU-01A-21R-A32P-07,0.889332730566281,0,0.079834141485376,0,0,0.0308331279483427,0,0,0,0.431617042309557,0.90588722990936
TCGA-EB-A5VV-06A-11R-A32P-07,0,0.085346055660414,0.0304734546350934,0,0,0.0601794163851899,0.208396632011652,0.61560444130765,0,0.869695820806787,0.50180776683026
TCGA-EB-A6L9-06A-11R-A32P-07,0.513544046447318,0.0587720569460758,0.0646256959611587,0.00153913545312308,0,0.0557920879761325,0.035505177548652,0.27022179966754,0,0.615770890977733,0.806919528351403
TCGA-EB-A6QY-01A-12R-A32P-07,0.882850454020057,0.00146965710395912,0.0614158890843682,0.00557022562654096,0,0.0205894034734882,0,0.0281043706915869,0,0.299930517473642,0.955818360686594
TCGA-EB-A6QZ-01A-12R-A32P-07,0.941845544456884,0.00259878362768122,0.0455366939012664,0,0,0.00857141619025544,0.00144756182391342,0,0,0.5750924413027,0.847004934858225
TCGA-EB-A6R0-01A-12R-A32P-07,0.807348918563052,0.000235334306708051,0.0277784208950302,0.0706851440865651,0,0.0731384072087959,0,0.0208137749398488,0,0.579102902505665,0.844994924797939
TCGA-EB-A82B-01A-11R-A352-07,0.763242643701389,0.00204290450732709,0.0694916345301902,0.020733645303183,0.00242649358578476,0.0722276121631488,0,0.0698350662089769,0,0.270524945730574,0.968300943152082
TCGA-EB-A82C-01A-11R-A352-07,0.958410325191542,0,0.0353814632779581,0,0,0.00166857316221748,0,0.00453963836828244,0,0.464926728574793,0.892214077144971
TCGA-EB-A85I-01A-11R-A352-07,0.835849987982463,0.000394037973363941,0.115461775704264,0.0199709523672272,0,0.0242922430336424,0,0.00403100293904011,0,0.698528955213723,0.798590666103971
TCGA-EB-A85J-01A-12R-A352-07,0.702754959479859,0.000120579682973472,0.0251442890216786,0.091104600312104,0,0.108305541002029,0,0.0725700305013557,0,0.61490451475614,0.815854359024535
TCGA-EB-A97M-01A-11R-A38C-07,0.830738400340222,0.000585042545377497,0.0411848489396697,0.0211982351324651,0,0.0648939432456772,0,0.0413995297965883,0,0.530662580625294,0.864405214963209
TCGA-EE-A17X-06A-11R-A18S-07,0.910724682991846,0.0015756334701747,0.0325512366079605,0.0117656648976452,0,0.031979352513997,0,0.0114034295183771,0,0.363029625015961,0.932512587553381
