Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-EE-A2ME-06A-11R-A18T-07,0.0657512947488499,0.0728809268396934,0,0.196207668951727,0,0.117270614770228,0.00960494148329187,0.0621115495059332,0.0680717327241249,0.00314787693098196,0,0,0,0.145293998467795,0.129772046364048,0.121190696699025,0,0,0.00869665251430135,0,0,0,0,0.465712004758666,0.884134519505871
TCGA-EE-A2MF-06A-11R-A21D-07,0.0317199063568251,0,0.0158271865294709,0.124931874343001,0,0.0769660145962318,0,0.0552707175958667,0.0411861043716405,0,0,0.067600557720967,0.0648765514158359,0,0.0509972847466942,0.339944536722824,0,0,0.120546537184909,0,0.0101327284157338,0,0,0.0210000133655096,1.0779196963886
TCGA-EE-A2MG-06A-11R-A18T-07,0.21428634019972,0.120948065541764,0,0.121929977944618,0,0.1102249554656,0.0212179369318193,0.0672030975039252,0.0278906809404818,0,0.0447425949046556,0,0.0103386428978182,0.0916155053390969,0.0579387555371122,0.111271600760495,0,0,0.000391846032894357,0,0,0,0,0.374231204617995,0.93040366482662
TCGA-EE-A2MH-06A-11R-A18S-07,0.0876763183757604,0.187214080252852,0,0.122244900333283,0.0148497013031778,0,0.00515725552485945,0.0477038835752569,0.127881047186464,0,0.0393366386478669,0.00121342668300499,0,0.0501318657908153,0.091205480660598,0.151158285535865,0.00641305008914502,0,0.0678140660410514,0,0,0,0,0.12012448588468,1.03841256680061
TCGA-EE-A2MI-06A-11R-A18U-07,0,0,0.0321326918978916,0.193766353684367,0,0.0658309060015685,0.00787165056107331,0.0643678688122048,0.0339233064409829,0,0.00939849967271509,0,0.105028677831587,0,0.0906845626796962,0.380206117051158,0,0,0.0167893653667557,0,0,0,0,0.14464306186941,1.036658712049
TCGA-EE-A2MJ-06A-11R-A18S-07,0.13072019392363,0,0,0.180944681589947,0,0.0657078841958884,0.00459688259650001,0.103509996010877,0.0703716247235376,0,0.0593572201907259,0.00354216374631673,0.0386916788990476,0.0996633933169027,0.124802195894202,0.072608147113931,0.00592164577871761,0,0.0395622920197761,0,0,0,0,0.241769243262811,0.994118109016581
TCGA-EE-A2MK-06A-11R-A18S-07,0,0.0525760196915526,0,0.203642282012532,0,0.0884123593762422,0.00215588169362357,0.0436717705226351,0.0451919821543543,0,0,0.0434479649679236,0.0671033584556116,0.095748525690602,0.131483817732405,0.135367492899746,0.00955017814270133,0,0.0816483666600714,0,0,0,0,0.134522466803289,1.03985231487113
TCGA-EE-A2ML-06A-11R-A18S-07,0.075486652470628,0,0.00927023906629924,0.314385081247207,0,0,0.0357263526368491,0.0944078126519164,0.100926445510568,0,0.0321596357105444,0,0.0162154202134902,0,0.0859699371065578,0.232858634882725,0.00259378850321537,0,0,0,0,0,0,0.0181003184199311,1.10027043634201
TCGA-EE-A2MM-06A-11R-A18S-07,0.000233538015453387,0.0110071025964989,0.0247248942556509,0,0,0.287149738564281,0,0.0972260859236215,0.0564220313022389,0,0.09515807122028,0,0.0752825226099493,0.0221821142046706,0.0259815110163059,0.197275113386831,0,0.00790556946404251,0.0984319832033779,0,0.00101972423679798,0,0,0.0042069208520362,1.08221109365725
TCGA-EE-A2MN-06A-11R-A18S-07,0.0301532339847632,0,0.0504366033778619,0.175560735354105,0,0.0362085699913403,0.00266605388998603,0.12143456170772,0.0967663172352602,0,0.0192011093983604,0.0280104456171973,0.0470926169110118,0.0716048129664623,0.077145138275687,0.119484329921128,0.0233724025238595,0,0.0926358430410129,0,0.0082272258042438,0,0,0.0802180139867569,1.04978296904816
